mirror_id,x_down,y_right_cam,x,y,z,flat_to_flat,focal_length,phi,r,n_x,n_y,n_z,dist_oa
127,-1022.49,-462,-462,-1066.08,120.533,151,0,4.30346,1161.88,0.0808011,0.186422,0.979141,1122.02
123,-1022.49,-308,-308,-1066.08,109.946,151,0,4.43114,1109.68,0.0539579,0.186747,0.980925,1067.87
134,-1022.49,-154,-154,-1066.08,103.593,151,0,4.56893,1077.15,0.027003,0.186943,0.982,1034.02
125,-1022.49,0,0,-1066.08,101.476,151,0,4.71239,1066.08,-4.95633e-06,0.187008,0.982358,1022.49
131,-1022.49,154,154,-1066.08,103.593,151,0,4.85585,1077.15,-0.0270069,0.186943,0.982,1034.02
136,-1022.49,308,308,-1066.08,109.946,151,0,4.99364,1109.68,-0.0539439,0.186747,0.980926,1067.87
119,-1022.49,462,462,-1066.08,120.533,151,0,5.12132,1161.88,-0.0807575,0.186423,0.979145,1122.02
121,-889.12,-693,-693,-932.71,120.553,151,0,4.07339,1161.98,0.121153,0.163066,0.979148,1127.29
128,-889.12,-539,-539,-932.71,103.613,151,0,4.18839,1077.25,0.0944779,0.163518,0.982006,1039.74
129,-889.12,-385,-385,-932.71,90.9083,151,0,4.32092,1009.05,0.067677,0.163932,0.984147,968.895
118,-889.12,-231,-231,-932.71,82.4383,151,0,4.46961,960.89,0.0406606,0.164161,0.985595,918.637
117,-889.12,-77,-77,-932.71,78.2033,151,0,4.63002,935.883,0.0135607,0.164276,0.986321,892.447
132,-889.12,77,77,-932.71,78.2033,151,0,4.79476,935.883,-0.0135631,0.164276,0.986321,892.447
130,-889.12,231,231,-932.71,82.4383,151,0,4.95517,960.89,-0.040651,0.164161,0.985596,918.637
120,-889.12,385,385,-932.71,90.9083,151,0,5.10386,1009.05,-0.0676435,0.163932,0.98415,968.895
116,-889.12,539,539,-932.71,103.613,151,0,5.23639,1077.25,-0.0945575,0.163517,0.981999,1039.74
115,-889.12,693,693,-932.71,120.553,151,0,5.35139,1161.98,-0.121185,0.163066,0.979144,1127.29
122,-755.75,-770,-770,-799.34,109.986,151,0,3.94568,1109.88,0.134882,0.140021,0.980919,1078.92
101,-755.75,-616,-616,-799.34,90.9286,151,0,4.05581,1009.16,0.108235,0.140456,0.984153,974.996
107,-755.75,-462,-462,-799.34,76.1061,151,0,4.18832,923.249,0.081359,0.140797,0.98669,885.779
113,-755.75,-308,-308,-799.34,65.5186,151,0,4.3446,856.626,0.0543848,0.141115,0.988498,816.103
114,-755.75,-154,-154,-799.34,59.1661,151,0,4.52206,814.04,0.0272223,0.141263,0.989598,771.282
112,-755.75,0,0,-799.34,57.0486,151,0,4.71239,799.34,5.31668e-06,0.141312,0.989965,755.752
109,-755.75,154,154,-799.34,59.1661,151,0,4.90272,814.04,-0.0272056,0.141263,0.989598,771.282
108,-755.75,308,308,-799.34,65.5186,151,0,5.08017,856.626,-0.0543501,0.141115,0.9885,816.103
106,-755.75,462,462,-799.34,76.1061,151,0,5.23646,923.249,-0.0814442,0.140796,0.986683,885.779
94,-755.75,616,616,-799.34,90.9286,151,0,5.36897,1009.16,-0.108278,0.140455,0.984149,974.996
104,-755.75,770,770,-799.34,109.986,151,0,5.47909,1109.88,-0.134871,0.140021,0.98092,1078.92
99,-622.38,-847,-847,-665.97,103.654,151,0,3.8079,1077.46,0.148485,0.11674,0.982,1051.08
102,-622.38,-693,-693,-665.97,82.479,151,0,3.9071,961.127,0.121969,0.117212,0.985589,931.456
105,-622.38,-539,-539,-665.97,65.539,151,0,4.03198,856.76,0.0951217,0.117534,0.988503,823.336
111,-622.38,-385,-385,-665.97,52.834,151,0,4.18822,769.247,0.0681084,0.117815,0.990697,731.838
110,-622.38,-231,-231,-665.97,44.364,151,0,4.37851,704.895,0.0409129,0.117978,0.992173,663.869
100,-622.38,-77,-77,-665.97,40.129,151,0,4.59728,670.407,0.0136323,0.11806,0.992913,627.129
98,-622.38,77,77,-665.97,40.129,151,0,4.8275,670.407,-0.0136728,0.11806,0.992912,627.129
97,-622.38,231,231,-665.97,44.364,151,0,5.04627,704.895,-0.0409413,0.117978,0.992172,663.869
96,-622.38,385,385,-665.97,52.834,151,0,5.23655,769.247,-0.0681125,0.117815,0.990697,731.838
95,-622.38,539,539,-665.97,65.539,151,0,5.3928,856.76,-0.0951647,0.117534,0.988499,823.336
93,-622.38,693,693,-665.97,82.479,151,0,5.51767,961.127,-0.121964,0.117212,0.985589,931.456
103,-622.38,847,847,-665.97,103.654,151,0,5.61687,1077.46,-0.148568,0.116739,0.981988,1051.08
87,-489.02,-924,-924,-532.61,101.558,151,0,3.66449,1066.51,0.162076,0.0934186,0.982346,1045.42
88,-489.02,-770,-770,-532.61,78.2655,151,0,3.74673,936.255,0.135575,0.0937634,0.98632,912.16
92,-489.02,-616,-616,-532.61,59.208,151,0,3.85452,814.328,0.108859,0.0941227,0.989591,786.506
91,-489.02,-462,-462,-532.61,44.3855,151,0,3.99786,705.065,0.0818366,0.0943468,0.99217,672.741
90,-489.02,-308,-308,-532.61,33.798,151,0,4.18809,615.254,0.0546763,0.0945452,0.994018,577.928
89,-489.02,-154,-154,-532.61,27.4455,151,0,4.43092,554.427,0.0273624,0.0946424,0.995135,512.691
86,-489.02,0,0,-532.61,25.328,151,0,4.71239,532.61,-6.87976e-06,0.0946748,0.995508,489.016
85,-489.02,154,154,-532.61,27.4455,151,0,4.99385,554.427,-0.0273701,0.0946424,0.995135,512.691
81,-489.02,308,308,-532.61,33.798,151,0,5.23669,615.254,-0.0546658,0.0945453,0.994019,577.928
68,-489.02,462,462,-532.61,44.3855,151,0,5.42691,705.065,-0.0818712,0.0943465,0.992167,672.741
80,-489.02,616,616,-532.61,59.208,151,0,5.57026,814.328,-0.108851,0.0941228,0.989592,786.506
84,-489.02,770,770,-532.61,78.2655,151,0,5.67805,936.255,-0.135662,0.0937623,0.986309,912.16
